hijab	kudung
amalan	amalan
itik	mentok
terjadi	dadi
cobalah	cuboen
diri	awak
ranjang	ranjang
bunyi	muni
film	filem
setelah	bar
dirasakan	di rasakno
akhir	entek-entekan
menyatakan	ngaturakke
terbanyak	paling okeh
rambutnya	rambute
drum	tong
pelayan	peladen
dimiliki	di nduweni
psikologis	psikologis
ibunya	mak e
buta	buta
tawa	cekakakan
tarikat	teriket
metro	metro
melahirkan	bayen
kapsul	pil
lompatan	pencolotan
ikuti	meloni
ikan	iwak
pertama	wahid
polos	lugu
terjemahannya	artine
pilar	sangga
orang	uwong
merah	abrit
bercerita	cerito
negerinya	negorone
kedatangan	kedugen
mitos	mitos
panggilan	celukane
dolar	dolar
menjadikan	ndadekke
sengsara	sara
sore	dalu
makna	makno
batasnya	watese
tongkat	kelet
sampah	uwuh
perusahaan	perusahaan
perdamaian	tentreman
pemerkosaan	pemaksaan
lapar	ngeleh
cintanya	tresnone
moyang	moyang
konflik	tukaran
biologi	biologi
tampang	rupo
canda	guyon
kamu	sampeyan
telor	endok
sinetron	pilem
primer	utomo
membangun	mbangun
semestinya	kudune
petunjuk	petunjuk
agak	rodo
beliau	sampeyan
balai	bale
team	konco
preman	preman
berkerumun	ngumpul
ganas	ugal
dimainkan	go dolanan
basi	sayop
cerita	cerito
saksi	sã©ksi
jadinya	sidone
menegaskan	negaske
muara	muoro
merasa	ngerasa
mau	gelem
komputer	komputer
motif	corak
sereal	sereal
menurutnya	menurute
pengusiran	pengusiran
senja	gaman
komitmen	komitmen
obsesi	obsesi
artikel	carita
kargo	kargo
hadiah	hadhiah
mengumpulkan	nglumpukke
penjara	penjara
kuat	roso
menduduki	njagongi
adegan	lelakon
kidul	kidul
kondangan	buwoh
begitu	ngono
mencampur	nyampur
raga	rogo
dengarkan	rungokno
tugas	garapan
rupa	rupo
perilaku	lelakon
sebesar	segede
ayunan	bandhulan
mengamankan	ngamanke
sebenarnya	sak tenan
berbunga	ngembang
kompor	kompor
karang	karang
menghidupkan	nguripke
paruh	sigar
direktur	direktur
selokan	paret
terbaik	paling apik
arsitekturnya	arsitekture
antaranya	antarane
benih	wiji
istirahat	ngaso
antik	antik
terbuat	seko
antrian	antrian
bom	bom
bergaris	nggaris
serum	serum
ruang	papan
rata	roto
informasi	informasi
semacam	semacam
sosial	sosial
gubuk	gubuk
sakit	gering
bandara	bandara
pemotongan	tugeli
pangeran	raden
menghilangkan	ngilangke
sel	sel
kekuatan	kekiyatan
ambil	jukok
minus	minus
orang	tiyang
tinju	tunjek
ubi	telo
wali	wali
rencananya	rencanane
landasan	landasan
mekar	mekar
konvoi	konvoi
memesan	ngewekasi
mewajibkan	ngwajibke
kedai	warung
bebas	bebas
dihuni	di nggoni
menandakan	nandakke
pekan	pekan
kambing	wedhus
keturunan	turunane
bocah	bocah
rebus	godok
ruas	ros
senang	bungah
banyaknya	mblerahe
bagaimana	kepiye
sifatnya	sifate
perjanjian	janji
sosis	sosis
kontak	kontak
sop	sop
parlemen	parlemen
planet	planet
kerdil	kuntet
sosok	sosok
elang	elang
tau	weruh
keluarganya	keluargane
karenanya	amergane
kayu	ketos
terbentang	gelar
awan	awan
persegi	kothak
bangunan	umah
menebus	nebus
diterima	di tompo
diajarkan	di ajarke
diangkat	di junjung
mengajukan	ngejokke
menyisakan	nyisakke
merpati	doro
berasal	seko
sebanyak	se okeh
kura	kuro
gedung	wangunan
sementara	sementara
morfin	morfin
mengalami	ngalami
kaca	koco
sarana	serono
kembalilah	balio
sapi	sapi
dipotong	di ketok
petinju	petinju
tempurung	batok
peluru	pluru
hari	dina
menekuni	nekuni
kebaikan	kesaen
partikel	partikel
gerbong	gerbong
letusan	njebluk
dansa	joged
sekumpulan	saklempakan
edisi	edisi
jumlah	kabeh
mengagumi	ngagumi
amplop	amplop
telapak	telapak
mencuri	nyolong
tembakau	tembako
arsitek	arsitek
bantu	ewang
datangnya	tekane
merasakan	ngrasakke
awak	kulo
persediaan	cawisan
kedua	ke loro
penipu	penipu
coba	cubo
kehidupan	kuripan
menghindari	ngelakke
kakak	kakang
pikiran	pikiran
paham	mudeng
lembut	alus
bungkus	bungkus
profesor	profesor
menghembuskan	ndamu
pengetahuan	pengerten
keduanya	loro-lorone
jaman	moso
teleskop	teleskop
berlari	mlayu
kepastian	kepastian
mengadopsi	ngadopsi
teras	teras
memanggil	nyeluk
berbahasa	boso
bersuami	nduwe bojo
buddha	budho
meneliti	neliti
protokol	protokol
tumpengan	tumpengan
teh	teh
ratakan	rotokke
maka	mulakno
telepon	telpon
untukku	kanggo aku
mual	munek-munek
peri	peri
berterima	nompo
favorit	senengi
meneruskan	neruske
menjadikannya	ndadikno
nangka	nongko
pungut	pungut
rawa	rowo
terpilih	kepilih
setelahnya	sak bar'e
pinjaman	silihan
pipi	pipi
tersebar	kesebar
pak	pak
pameran	pameran
bela	belo
sejarahnya	sejarahe
beras	beras
perubahan	ganti
pengantin	penganten
ujungnya	ujunge
jamu	jamu
rasa	roso
mengonsumsi	mangan
dirimu	sampeyan
koran	koran
sesak	sesek
rangkaian	rentengan
rakit	loro
utusan	kongkonan
akalnya	uteke
perempuannya	wedokane
pesat	kenceng
awas	ngalih
cabai	lombok
penculik	panyulik
rencana	rencono
cara	cara
adil	adil
dipuji	di lem
juri	juri
untung	bejo
hadir	teko
tinggal	manggon
lawas	suwi
susu	susu
meteor	meteor
oral	lambe
kehidupannya	uripe
perayaan	prayaan
induknya	babone
sawah	sabin
muncul	katon
kejayaan	kawijayan
kegagalan	kegagalan
mandi	pakpung
foto	poto
luas	jembar
bangunnya	tangine
sarang	susuh
dibasuh	di lap
tanggapan	tanggepan
berapa	piro
bunda	biyung
pernikahan	rabi
adanya	enenge
lobster	lobster
meminta	njaluk
penuntut	penuntut
hidupnya	uripe
konstruksi	konstruksi
personil	anggota
peluit	sempritan
gambaran	gambaran
menafsirkan	ngartekke
memberikannya	ngenehke
tetap	panggah
menargetkan	nargetke
miliaran	miliaran
rapat	patemon
kraton	kraton
punjung	punjung
kadal	kadal
sutra	sutra
sepotong	sakcuil
tembak	bedil
menyerah	nyerah
nakal	ngeyel
serikat	serikat
banting	banting
sentuh	demek
jack	jack
dorongan	surung
dulu	ndisek
kubur	kubur
tembakan	tembakan
ibu	embok
begitupun	ngono
tenggara	kidul wetan
terbakar	kebakar
memanggilnya	nyeluke
lainnya	liane
dilalui	di liwati
lirik	cakepan
syaitan	dhemit
gelombang	gelombang
istrinya	bojone
kolonel	kolonel
merespon	nanggepi
singkatnya	singkate
permintaan	penjalukan
petunjuk	pituduh
komandan	komandan
luka	koreng
anak	putra
berlanjut	keterusan
menanyakan	nakokne
minyak	lenga
dibalik	di walik
tanggung	tanggung
dijalani	di dalani
sekolah	sekolah
gambarnya	gamabare
raja	rojo
fotografer	fotografer
merenovasi	ngapii
anakku	putraku
melengkung	mbengkong
proses	nggarap
semisal	umpomo
dikonsumsi	di pangan
pena	polpen
piano	piano
bung	bung
belati	glathi
lihatlah	delok'en
kondom	kondom
memurnikan	mbeningke
lelucon	guyonan
beratus	atusan
rute	rute
luka	borok
kegiatan	penggawean
tuan	ndoro
pertengkaran	padu
perhatikan	delok
makanan	bhadokan
bersila	silo
delta	delta
omong	wicara
periksa	prikso
abadi	langgeng
kacamata	koco moto
menyumbang	nyumbang
timur	wetan
heran	gumon
ekornya	buntute
kang	kakang
jagung	jagung
delapan	wolu
pemegang	pemegang
tempat	nggon
tayangan	tayangan
ayah	romo
tahun	warsa
mutasi	mutasi
tumbang	ambruk
berangkat	mangkat
norma	norma
boneka	boneka
pemindai	pemindai
lebih	luwih
misil	rudal
ditusuk	ditujep
tinggi	duwur
pipa	selang
menakutkan	medeni
tinju	tinju
serentak	bebarengan
kamis	kemis
nyeri	linu
terdapat	eneng
memilih	milih
tembang	tembang
tertawa	ngguyu
gaun	gaun
boleh	entuk
kuah	duduh
sahabatnya	kocone
kehutanan	alas
membunuhnya	 mateni de'e
siklus	siklus
niat	niat
olahraga	ulah raga
pupuk	pupok
warung	warung
sebentar	dilit
wawasan	wawasan
berkomunikasi	ngabari
memberitahu	nge i reti
mari	monggo
abstrak	rajelas
pandangan	pandelengan
karyawan	pegawai
kriminal	tumindak ala
apian	genian
jalur	jalur
tank	tank
tidaklah	oralah
bar	panggon ngombe
bingung	bingung
mengarahkan	nduduhi
pembatas	wates
berpikir	mikir
huruf	aksara
melewatkan	ngliwatke
serupa	serupo
tibanya	tekone
bersembunyi	ndelik
memperkirakan	ngiro-iro
diatas	nang nduwur
kalah	kalah
kaya	sugeh
pondok	mondok
mertuanya	mertuane
cina	cino
kebenaran	keleresan
putus	pedot
gula	gulo
sunat	sunat
bisa	iso
beban	beban
pikirkan	pikerke
melebihi	ngeluwihi
ingatan	engetan
saudaranya	sedulure
menyusui	nyusoni
mantra	montro
datar	warata
dihentikan	di ndekno
rompi	rompi
lembaran	lembaran
patungan	sum-suman
logis	nalar
ilmu	elmi
pencerahan	pencerahan
siang	awan
tegaknya	jejege
dosa	duso
belahan	belahan
luarnya	njobone
pembuat	pandamel
ahad	minggu
kodok	kodhok
tiga	telu
beruntung	beja
bukan	ora
membeli	nukoni
perawat	prawat
racun	wisa
tabrakan	tumburan
pramugari	pramugari
umumnya	umume
bercerai	pegatan
anggapan	anggepan
pemahaman	pengerten
pensil	potlot
akur	akrab
tongkat	penthung
dipanggil	di celuk
bakar	obong
jambul	jambol
pola	pola
budha	budho
menukar	nukerke
pemakaman	kuburan
mengapa	ngopo
ukiran	ukiran
sepanjang	sak dowo
virgin	prawan
influenza	pilek
alkohol	bir
pastor	pastor
akrab	akrab
lantai	jogan
melakukan	ngelakokke
depresi	edan
kental	kentel
dihaluskan	di aluske
pulang	mulih
rehabilitasi	rehabilitasi
identitas	identitas
maaf	ngapuro
selebihnya	sak luwihe
berguna	kanggo
tangki	teng
asli	asli
sejarah	babad
membuktikan	mbuktikke
tokoh	lakon
nuklir	nuklir
skenario	skenario
penghancuran	karusakan
momen	wayah
penerbangan	penerbangan
perkebunan	kebon
wilayah	daerah
klub	klub
nangka	gori
ekspedisi	ekspedisi
melunak	mblenyet
derajat	drajad
mainan	dolanan
pacar	pacar
menemukannya	nemoni
cinta	tresna
pojok	pojok
menempatkan	manggonke
kelinci	kelinci
kepada	kanggo
mempelai	mempelai
jejak	tepak
apartemen	apartemen
motivasi	motivasi
tirinya	tirine
susun	suson
penjualan	penjualan
panggilan	celuan
bahaya	marabaya
tokohnya	lakone
kawanan	konconan
dana	bea
acara	gawe
persaingan	persaingan
alat	perkakas
sapinya	sapine
buta	picek
menyerupai	madani
pelatuk	pelatuk
nama	asma
jambul	kuncung
panjangnya	dowone
piknik	piknik
perang	perang
hasrat	hasrat
mengantarkan	ngeterke
keadaan	kawontenan
ibunya	mbok e
wadah	adah
lagi	meneh
fungsi	fungsi
gaji	upah
undang	ngundang
bacaan	woconan
seperti	koyo
kejar	uber
narkotika	narkotika
menjaga	jaga
saya	aku
daerah	wewengkon
jempol	jempol
sukai	senengi
raya	royo
pembuka	pambuka
penghubung	panyambung
kerja	kerjo
bergelut	nggeluti
marinir	marinir
main	dolan
bukti	bukti
cowok	jaler
teman	kanca
telur	ndog
dataran	dhataran
mata	pandeleng
kuda	jaran
mengemban	ngemban
menetap	mapan
kalau	nek
maksimum	maksimum
buah	woh
terowongan	trowongan
tembakan	bedhilan
pergi	lungo
garis	garis
merencanakan	ngrencanakke
nama	jeneng
nelayan	nelayan
zat	zat
digantikan	di genteni
emping	mping
dana	dana
wong	uwong
tenis	tenis
antena	antena
budaya	budoyo
anaknya	bocahe
aba	obo
fatal	ajur
penjudi	bandar
tolong	tulung
hidung	irung
setingkat	sak tingkat
rindu	kangen
cuaca	hawa
tornado	tornado
kadar	ukuran
panglima	penglima
dijaga	di jogo
dipegang	di cekel
musibah	pagebluk
segar	segar
menambah	nambah
buaya	boyo
memadamkan	mateni
perbuatan	lelakon
buruk	elek
berbohong	ngapusi
mekanik	mekanik
gantungan	gandulan
analis	analis
sandiwara	drama
dipunyai	di nduweni
akurat	titis
bentuk	wujud
syaraf	syaraf
menyusun	nyuson
akuntan	akuntan
ahli	pakar
serangga	serangga
walikota	walikota
sebelah	sisih
juta	yuto
angin	angin
perkawinan	rabi
selam	ndelep
mudah	gampang
mengingatkan	ngelekke
narapidana	narapidana
letakkan	delehke
tampil	nongol
perbatasan	baketan
pindah	ngalih
suku	suku
rakyatnya	rakyate
pemerasan	pemerasan
maksud	maksud
tetap	tetap
nyamuk	lamuk
permen	mbanggulo
urusan	urusan
mobil	mobil
celaka	ciloko
tunjangan	sepakan
aku	kulo
tenteram	tentrem
sumur	sumur
murid	murid
arsip	berkas
terlampau	kadung
bayaran	bayaran
kidal	kidal
menjalani	ndalani
hitam	ireng
marilah	monggo
simulasi	simulasi
minuman	ombenan
peninggalan	peninggalan
kependekan	ke endek'an
usus	usus
menyebar	nyebar
kulit	lulang
sopir	sopir
ingat	eleng
tepian	pingiran
bakunya	bakune
pemerkosa	pemaksa
sabtu	setu
berlian	cemerlang
guntur	gluduk
lutut	dengkul
pengendalian	seng ngendalike
mana	endi
dilihat	di delok
terkurung	kekurung
terbang	mabur
pelatih	pelatih
jenderal	jendral
dasarnya	dasare
rajab	rejeb
akan	arep
badak	badak
kalian	kalian
memperhatikan	nyawang
dimakan	di pangan
kabarnya	kabare
mama	simbok
harga	rego
pidato	pidato
predator	predator
kreatif	kreatif
hoki	bejo
celana	kathok
kecilnya	cilike
karir	karir
seharusnya	kudune
saran	saran
terendam	kelep
kabar	pirengan
pesona	pesona
dinamai	di jenengi
cetakan	cetakan
pemerintah	pamarintah
gelas	gelas
selimut	kemul
kuning	kuneng
ambulans	ambulan
pencarian	nggoleki
berdendang	nembang
hantu	memedi
tetapi	neng
diingat	di iling
akal	utek
memindahkan	mindah
lamanya	suwine
tugasnya	titahe
kumis	brengos
wasiat	piweling
komunikasi	omong-omongan
peliharaan	ingonan
ada	ono
keringat	kringet
senior	senior
sonar	sonar
amal	amal
petuah	pitutur
berawal	seko
jln	dalan
pukulan	gepukan
sempat	sempet
ringan	enteng
itu	iku
daun	godong
menyentuh	ndemek
merancang	ngerancang
kotoran	regetan
mencatatkan	nyatet
asalnya	mulane
yoga	yoga
memperkaya	ngayakke
menentukan	nentokke
salon	salon
dahulu	mbiyen
persoalan	persoalan
pecandu	pecandu
sisik	sisek
sampek	tekan
kehidupan	kegesangan
sampingnya	sisihe
meminum	ngombe
menyusul	nyusol
berbicara	ngomong
meluaskan	njembarke
berada	eneng
umat	umat
bakteri	bakteri
tas	tas
bahagia	bungah
artinya	artine
pekerjanya	kerjanane
jeruk	jeruk
tingginya	duwure
olimpiade	olimpiade
coklat	soklat
badai	topan
cowok	lanang
raksasa	buto
mengalir	mili
payung	payong
kebahagiaan	kesenengan
seluas	sak ombo
suhu	suhu
berketurunan	manak
setengah	separo
parade	karnaval
desa	desa
perguruan	perguruan
lunasi	lunasi
gergaji	graji
jenggot	jenggot
siap	cepak
trotoar	trotoar
aplikasi	aplikasi
gunung	gunung
kawan	konco
bunga	sekar
yang	seng
atasnya	nduwure
lotus	lotus
pinang	jambe
demam	mriyang
pandangannya	delokane
membunuh	mateni
timpa	tiban
pasukannya	bolone
formulir	formulir
tapai	tape
celana	katok
sekelas	sak kelas
beasiswa	beasiswa
ambulan	ambulans
belalang	walang
mangkat	mangkat
kesudahan	ke uwisan
api	agni
upah	opah
makna	werdi
kapan	kapan
tembak	nembak
menanak	ngedang
badan	awak
sapu	sapu
bandit	bandhit
pelanggaran	pelanggaran
oleh	karo
skema	skema
tunjuk	ndudingi
minatnya	karepane
pertandingan	cocog
entahlah	embohlah
nyala	murip
keras	atos
kawannya	koncone
telinga	kuping
pembicaraan	rembugan
menghentikan	mandekke
guguk	kirek
kemari	mrene
menceritakan	nyeritakke
uang	dhuwit
pembunuh	sing mateni
kemungkinan	menowo
pesawat	montor mabur
mencukur	nyukur
sebut	obo
cara	coro
sayang	tresno
istana	istana
dinas	dines
bersamanya	bareng ndek'e
didapati	entokke
ditukar	di ijoli
meresmikan	ngresmikno
balik	muleh
benturan	tubrukan
terutama	utomo
menjadi	ndadi
gigi	untu
asap	beluk
ratanya	rotone
rintangan	rintangan
tamparan	tapok
paha	pupu
tertib	urut
senjata	gaman
lima	limo
tangisan	nangisan
telah	uwes 
instruksi	arahno
hidupku	uripku
mencatat	nyatet
lubuk	njero
memakannya	mangan
menghancurkan	ngerusak
membuat	nggawe
rantang	rantang
diri	badan
water	banyu
cita	gegayuhan
asuransi	asuransi
minggu	ahad
meninggi	menduwur
peserta	peserta
salem	salem
minyaknya	lengane
morse	morse
kolom	kolom
pensiunan	pensiunan
pulangnya	baline
ceri	ceri
dibersihkan	di resiki
kalkun	kalkun
dulu	biyen
wabah	wabah
apapun	napa mawon
tindih	temumpang
membeli	tuku
unta	onta
mengikuti	ngintil
rawa	rawa
hormon	hormon
areal	ancak
sejauh	sak adoh
kulihat	tak delok
tumbuh	wet
bujangan	bujangan
anting	suweng
sisi	sanding
pengantin	temanten
tarian	jogetan
adegan	babak
kawin	kawen
wafat	ninggal
ribu	ewon
menyanyi	nembang
musang	bajing
dosis	takar
tercampur	kecampur
perut	padharan
kembalinya	mbalik e
dada	dhadha
kayak	koyo
muaranya	muarane
mengetahuinya	mangerteni
ayam	pitek
dewasa	gede
tinggalkan	tinggalno
berlubang	bolong
sengaja	sengojo
maniak	maniak
uang	duet
jangan	ojo
orangtua	wong tuo
hijau	ijo
anggota	bolo 
marah	ngamuk
meletakkan	nggletekke
alamat	alamat
kakak	mbak yu
kantong	sak
sumpah	sumpah
mengira	ngiro
nomor	ongko
seayah	tunggal bopo
separuh	separo
bencana	pagebluk
munculnya	nongole
pungut	jikok
putranya	putrone
ember	ember
subuh	subuh
sekumpulan	sak kumpulan
paman	pak lek
warni	warni
dipakai	di enggo
kalajengking	kalajengking
setim	sak tim
pertempuran	gelut
jimat	jimat
pisau	peso
timnya	bolone
bertani	tani
telpon	ngebel
terbenam	mindlep
menduga	rasan-rasan
kado	kado
plastik	kresek
terlihat	ketok
tumit	tungkak
penurunan	dronjongan
mulut	cocot
merawat	ngerawat
pikir	piker
jatuhkan	nibakno
temuan	pethuk'an
saatnya	wayahe
hatinya	atine
bangkai	bangke
saluran	ilen-ilen
syukuran	sukuran
keenam	ke enem
pintu	lawang
pengadilan	pengadilan
pasal	pasal
bersin	wahing
membebaskan	mbebaske
samudera	segoro
teladan	teladan
ustad	ustad
macamnya	jenise
pemuda	cah enom
pemalu	isin
mentah	mentah
runding	rembuk
duluan	ndisikan
hitungan	etungan
apa	opo
naga	nogo
menyebarkan	nyebarke
konspirasi	konspirasi
nenek	eyang
menawarkan	nawakke
untuk	kanggo
tutur	tutor
sobek	suwek
robot	robot
wayang	wayang
target	sasaran
penghalang	pembates
muntah	mlekok
silver	perak
dadu	dadu
sebelumnya	sak durunge
turut	melu
tumpang	temumpang
bisakah	iso ora
panci	dandang
korek	korek
perceraian	pegatan
tampaknya	ketokane
bisu	bisu
loyalitas	loyalitas
berada	nduwe
kantin	warung
tahan	tahan
tiup	damu
terhalang	ke alang
sisanya	turahane
orangnya	uwonge
tempo	tempo
pejuang	pejuang
lebar	jembar
busana	klambi
berdua	wong loro
berkelahi	gelut
keturunannya	turunane
bulannya	wulane
bersua	pethuk
pelajaran	"	ajaran"
ini	iki
warna	werna
lakukan	lakokno
memperhatikan	ndelok
pengamanan	keamanan
laut	seganten
tembus	tembus
batas	watesan
kecurigaan	curiga
sangka	nyongko
amarah	nesu
tes	tes
parit	got
mamak	simbok
senja	sore
dagang	dodol
antibiotik	antibiotik
terbit	muncul
menghasilkan	ngasilke
tercatat	kecatet
transplantasi	transplantasi
renang	ngelangi
persik	persik
batu	krikil
merebus	nggodok
setumpuk	setumpok
ibadah	ngibadah
gergaji	geraji
rendah	ndek
agenda	jadwal
seberat	seabot
berwarna	warnanan
diberhentikan	di mandekno
stop	mandeg
karnaval	pawai
kodok	kodok
senyum	mesem
puluh	puluh
bajunya	klambine
pendiam	meneng
vagina	turok
wuri	mburi
penis	titit
ketinggian	keduwuren
bir	ciu
arahan	arahan 
tontonan	delokan
tetangga	pepadha
kawasan	tegal
kulit	kulet
penyerang	penyerang
mengangkat	njunjung
rumor	desas desus
menggantikan	nggenteni
korupsi	korupsi
seumpama	umpomo
isinya	isine
riasan	pacak'an
begini	ngene
hilang	ilang
bunda	mak'e
mual	eneg
pencucian	pengumbahan
bayam	bayem
bel	bel
ulah	ngulah
kecoa	coro
dalamnya	njerone
pada	karo
tamparan	tapokan
rekan	kanca
masalah	masalahe
payung	payung
kilat	petir
membantumu	ngewangi koe
keseluruhan	kabehane
beban	sanggan
pandemi	pagebluk
organisasi	organisasi
berenang	ngelangi
pertumbuhan	tuwuh
lari	mlayu
toko	toko
berkawan	kancan
miring	mereng
merintis	ngerintis
butuh	kudu
vokal	suoro
menjauh	ngadoh
paskah	paskah
mengasuh	ngasuh
mendapatkannya	entukake
disana	nang kono
jawaban	jawaben
media	miyambakipun
babi	celeng
alternatif	alternatif
kandangnya	kandange
salju	salju
mengelompokkan	ngumpulke
penamaan	njenengi
baru	anyar
tai	tembelek
tepi	pinggir
panduan	warahi
mental	mental
kepala	endhas
kesukaan	kegemaran
berharap	ngarep
pejabat	pejabat
benang	bolah
listrik	listrik
tumbuhan	wit-witan
buat	gawe
benarkah	tenane
tiba	teko
memegang	nyekel
apa	dalem
pelindung	pelindung
musik	gendhing
jurnal	jurnal
alien	alien
mangga	pelem
maksudnya	maksude
bakat	bakat
pengganggu	pengganggu
jalan	mlaku
tunggu	enteni
wanita	wedok
generator	generator
menambahkan	nambahi
lelaki	jaler
ziarah	nyekar
bertelur	ngendok
semester	semester
vitamin	vitamin
sastra	sastra
polisi	polisi
siswa	siswo
ambisi	ambisi
liburan	preian
mertua	morotuwo
membersihkan	ngresii
tapi	neng
terserah	karepe
kurasa	rumangsa
pertahanan	pertahanan
cepatlah	ndango
bulu	wulu
kota	kitha
bercanda	guyon
perangkap	perangkap
bernafas	ambekan
cepat	ndang
objek	objek
terikat	ketalen
biji	isi
pembantu	peladen
permintaan	kekarepan
keberanian	kekendelan
kompensasi	kompensasi
pembaca	pranoto
internal	internal
tertuang	ke sok
mengunjungi	sowan
ski	ski
nyata	nyata
kelihatannya	ketok'e
haruskah	kudu
beralih	ngalih
ungu	ungu
alkohol	ciu
menghabiskan	ngentekno
nggak	ora
prajurit	prajurit
disunting	di bojo
diletakkan	di gletakne
halaman	latar
diskusi	mbahas
pondok	gubuk
sejam	sak jam
bacakan	woconen
penasihat	penasihat
bersaudara	sedulur
menamakan	njenengke
mengkonsumsi	mangan
kekuatan	kekuwawen
alamnya	alame
inilah	ikilah
pinggang	boyok
kejiwaan	kejiwoan
dengan	karo
sinar	sinar
wajib	mesti
menganjurkan	nganjurke
jabang	jabang
berawan	awanen
tempatnya	panggone
aktris	seniman
tiada	raono
pamannya	lek e
musiknya	musike
memancing	mancing
pesanan	pesenan
burung	manuk
pengikut	meloki
kesejahteraan	keminulyoan
batang	pang
referensi	referensi
jaket	jaket
abangnya	mase
radius	radius
tergabung	melu
mencarinya	nggoleki
berumur	sepuh
kucing	kuceng
kira	kiro
sejuk	ayem
kemewahan	kemegahan
didengarkan	di rungokno
menguntungkan	nguntungne
mencintaimu	tresna sampeyan
bidadari	widodari
dunia	dunyo
kandungnya	kandunge
karbon	karbon
suratnya	layange
terhimpun	nglumpuk
jambu	jambu
rumah	griya
bencana	bilahi
prestasi	unggulan
karet	karet
tombol	tombol
melinting	nglinting
merugikan	ngrugike
unit	buah
titian	titian
ujung	ujong
gigitan	cokotan
menetapkan	netepke
otot	otot
medali	medali
walaupun	senajan
pagi	isuk
keruh	butek
perempuan	wedok
nyamuk	nyamuk
pasukanku	pasukanku
mudanya	enome
menjawab	wangsulan
sepangkat	sak pangkat
kebetulan	ora sengojo
hati	ati
budayanya	budoyone
selanjutnya	sak bar e
duanya	lorone
mari	ayo
berbalik	mbalek
saus	saos
merayakan	ngrayakne
man	manungsa
jika	nek
gelembung	pelembung
bumiputera	bumi putro
acuan	cekelan
sekelilingnya	sak kelilinge
gue	kula
rasakan	rasakno
merusak	ngerusak
bebatuan	wewaton
kesuksesan	kesuksesan
ayolah	ayolah
kaku	wagu
pagi	esuk
buahnya	uwohe
sesajian	sesajen
menganggap	nganggep
goyang	njoget
kehidupan	kesugengan
psikopat	wong kenthir
kabar	prungu
bendera	gendero
siapa	sopo
menulisnya	nulise
luar	njaba
sponsor	sponsor
dinamakan	di jenengno
pengunduran	pengunduran
tradisi	tradisi
lonceng	krincingan
batasan	watesan
ditusuk	di cucuk
tajam	landep
motor	montor
mengajar	ngajar
ampun	ngapura
bangku	bangku
penyihir	dukun
membatasi	ngewatesi
periode	mongso
penis	pajaleran
panah	jemparing
akses	akses
colok	colok
mingguan	mingguan
aslinya	asline
temannya	koncone
bagaimanapun	piyewae
ungkapan	tuturan
laboratorium	laboratorium
berbeda	bedo
mencium	ngambung
penyimpanan	penyimpenan
gajah	gajah
reaksi	tanggepan
pompa	pompo
keberanian	kekendhelan
menyambung	nyambung
bermain	dolanan
berdarah	getihan
administrasi	administrasi
banding	bandhing
madang	mangan
asma	jeneng
ikut	melu
partai	partai
penghuni	wargi
dukungan	ndukung
maafkan	ngapurane
sersan	prajurit
penutupan	pungkasan
menumpang	numpang
pendukung	pendukung
pendaftaran	pendaftaran
misteri	misteri
kegelapan	kepetengan
toilet	jedhing
kursus	kursus
dunia	jagad
momen	momen
maknanya	maknone
baca	mboco
puteri	putri
agamanya	agamane
adiknya	adine
kekebalan	kekebalan
pasti	mesti
basah	teles
selamanya	sak lawase
kata	tembung
diseduh	di com
gairah	nafsu
keberadaan	kewontenan
madang	madang
jiwa	jiwo
selesaikan	rampungke
sapinya	lembune
trio	telon
halangan	pambengan
riang	bungah
batuk	watuk
senang	seneng
langit	langit
bawahan	ngisoran
organisme	organisme
tubuh	awak
runcing	lancip
cetak	citak
rusuk	iga
sebaris	sak baris
kiri	kiwo
kanker	kanker
sopir	super
usai	rampung
sebagian	sak bagian
memanjat	menek
mangkok	rengkok
sirkuit	sirkuit
purnama	purnama
ditanami	di tanduri
jalanan	dalan
rusa	kidang
upah	gaji
bang	mas
pisau	piso
lukisan	gambaran
sambar	samber
borgol	gembok
nanas	nanas
sepeda	pit
garam	uyah
maukah	gelem ora
membalas	mbales
mulai	mulai
sekali	sekali
pisang	gedang
kesatuan	kamanunggalan
bahannya	bahane
pembunuhan	kasus mateni
lapang	ombo
menyampaikan	nyampekke
masanya	wektune
setuju	setuju
tunjukkan	duduhke
bekas	bekas
abu-abu	awu-awu
mengangguk	manggut
asing	asing
bangunlah	tangilah
tindakan	polahe
kekaisaran	kekaisaran
usaha	usoho
nikah	manten
sengatan	entupan
terbayang	kelingan
perintah	dhawuh
monyet	kethek
trik	coro
ide	ide
memakai	nganggo
telpon	telpon
dibuang	di guwang
itulah	iku
perbuatan	pandamel
tutup	tutop
sarjana	sarjana
grup	liting
menari	njoget
terbit	nungul
hama	homo
kencan	gendakan
bulan	wulan
buih	umpluk
gubernur	gupernur
tindakannya	tumindake
teman	konco
melompat	nglumpat
tidakkah	orapo
pantat	bokong
perapian	perapian
massa	abot
majikan	majikan
abses	borok
penawar	penawar
karate	karate
meledak	njeblug
kijang	kidang
program	program
toilet	jamban
adu	adu
terompet	trompet
kimia	kimia
musyawarah	rembukan
danau	telogo
sekalian	sisan
lihat	delok
tonggak	tunggak
diminum	di ombe
parkir	markir
dipelihara	di ingoni
darah	getih
kelangsungan	kelangsungan
kostum	anggen-anggen
membuang	ngguwang
menikahi	mbojo
mudik	balek kampung
ketujuh	ke pitu
sial	apes
