menghancurkan	ngancurkeun
dilipat	dilipet
menggigit	ngagegel
pertunjukan	partunjukan
berkembangnya	mekarna
menjolong	nonjol
benarkah	bener teu
trik	trik
hulu	walungan
bermalam	ngawengi
diletakkan	ditunda
berbincang	omongan 
bangsanya	bangsana
sarapan	mumuluk
ditinggalkan	dikantunkeun
keadaan	kaayaan
dikunjungi	didatangan
amien	amin
dilaporkan	dilaporkeun
akhir	panungtungan
investor	investor
darinya	ti manehna
huruf	cacarakan
umpama	upama
agensi	agensi
meneruskan	ngalajengkeun
investigasi	pamariksaan
ujung	tungtung
dipecah	dibeulah
kawasan	wewengkon
hasrat	kapalay
istimewa	sae pisan
jenius	jenius
gunanya	makena
libur	liren
bukannya	lainna
kapsul	kapsul
sebaris	sajajar
usai	parantos
berada	ayana
balas	walon
piano	piano
dayung	boseh
sebelum	memeh
dijadikan	dijantenkeun
penjara	panjara
investigasi	nalungtik
asal	mimiti
got	selokan
ustad	ustad
basket	basket
pembuat	nu ngajieun
aba-aba	parentah
balok	catang
berbudaya	ngabudaya
sedikit	saeutik
berdoa	ngadu'a
anaknya	anakna
antena	antena
air	banyu
menanyakan	naroskeun
atlantik	atlantik
bangunan	bangunan
mengaku	rumaos
patung	patung
amatir	nembean
kurang	teu cukup
instrumen	karawitan
uang	artos
berbahaya	picilakaeun
moyang	luluhur
kemungkinan	kamungkinan
balasan	balesan
dering	ngirining
kategori	rupa
sandi	kode
kapas	boeh
lelucon	bobodoran
meningitis	meningitis
mendalami	ngajalajah
bercampur	kacampur
auditorium	auditorium
semut	sireum
cuaca	hawa
bahari	bahari
banyaknya	lolobana
mentari	panon poe
berteriak	ceuceuleuweungan
mengerikan	pikareueuseun
beranggotakan	kaanggotaan
pimpinan	ketua
turun	turun
pulang	uih
terimakasih	nganuhunkeun
rumah	bumi
menyelidiki	nalungtik
fasilitas	pasilitas
hati	hate
hamba	sewaka
belum	teu acan
penelitian	panalitian
restoran	restoran
bersatu	ngahiji
ungu	gandaria
buruh	kuli
berposisi	kalungguhan
datangnya	datangna
mekanik	mekanik
lihat	ningal
enak	ngeunah
mau	hoyong
cepatlah	enggalkeun
keturunan	turunan
truk	treuk
kursus	les
bahasanya	bahasana
paduka	kangjeng
cakar	kaut
wajah	pemeunteu
dibilang	dietang
adalah	ieu teh
bau	bau
aksara	aksara
bicara	nyarios
jaring	sair
koin	kencring
kediaman	rorompok
diaktifkan	dihidupkeun
garasi	garasi
jaminan	jaminan
masehi	masehi
alat	alat
mengirimkan	ngirimkeun
rata	rata
berlipat	ngalipet
bayangan	kalangkang
adipati	juragan agung
pencari	paneang
satelit	satelit
bercinta	kabogohan
meninggalnya	maotna
tersebar	nyebar
rompi	rompi
bertumpuk	katumpuk
disalin	dicutat
sebaiknya	sakedahna
luas	lega
diciptakan	diciptakeun
urusan	priyogi
jabatan	jabatan
menyelamatkan	nyalametkeun
rapat	kempelan
mencanangkan	nyatakeun
sebelah	sapasi
kantung	kantong
berguna	kapake
kunjungan	kadatangan
resiko	akibat
mati	paeh
buka	muka
tutup	kekeb
jatah	porsi
kostum	raksukan
terdengar	kadenge
anatomi	anatomi
delta	delta
kerabat	wedet
organisasi	paguyuban
ahli	saehu
musisi	musisi
bunga	kembang
jadinya	jadina
tersangkut	nyangsang
dipakai	dipake
harinya	poena
tebal	kandel
pemeriksaan	pamariosan
senang	senang
dilancarkan	digampilkeun
mencegah	nyegah
mencangkul	macul
berumur	sepuh
bersalah	kaliru
sultan	sultan
mengidentifikasi	ngidentipikasi
tikungan	mengkol
dimenangkan	dikengingkeun
terang	caang
pencuri	bangsat
dikunjunginya	didatanganna
bergurau	ngabodor
universal	universal
petani	patani
beban	beungbeurat
beliau	anjeun
menjuarai	meunang
ayat	ayat
logam	logam
mencatat	nyatet
komunis	komunis
menghadiri	datang
anakan	anakan
negara	nagara
pembeli	nu ngagaleuh
asmara	asmara
dimiliki	dipikagaduh
tanaman	taneman
jenderal	jenderal
makanan	kadaharan
didokumentasikan	didokumentasikeun
terpisahkan	kapisahkeun
astaga	euleuh
garpu	garpuh
astronom	astronom
berkawan	babaturan
begitu	jiga kitu
besi	beusi
jabatan	kalungguhan
ganti	gentos
jiwa	jiwa
biji	siki
minggu	ahad
toko	warung
menumpang	milu numpak
anggun	apik
kondisi	kondisi
pagar	pager
alien	alien
apapun	naon oge
tetangganya	tatanggana
departemen	bagean
sesungguhnya	saestuna
alarm	alarm
kepadanya	ka manehna
anyar	enggal
perangkap	parangkap
adik	adi
kawan	batur
minyak	minyak
berkas	berkas
sistem	sistim
mulut	baham
diwujudkan	dibuktikeun
sukarelawan	sukarelawan
bakal	bade
absolut	gembleng
secukupnya	sacekapna
gravitasi	gravitasi
sidang	sidang
bangsawan	bangsawan
pantat	imbit
hadirin	balarea
arifin	jelema pinter
kakak	aa
contoh	conto
teh	enteh
dipertemukan	diamprokeun
diketahui	terang
anyaman	nganyam bilik
bali	bali
dana	duit
kandung	kandung
menyakiti	nyilakakeun
dihabiskan	dibeakeun
dijuluki	dilandih
berfikir	mikir
pistol	pestol
dulunya	baretona
lemah	leuleus
pidato	biantara
tahunnya	apalna
momen	kajadian
gunakan	make
utusan	parwakilan
ambon	ambon
pergi	mios
pendidikan	winaya
kampungnya	lemburna
menemukan	manggihan
didengarkan	dikupingkeun
kru	kru
diturunkan	diturunkeun
penampungan	panampungan
yaitu	nyaeta
mengusahakan	ngausahakeun
tali	tali
benar	bener
alasan	lantaran
keras	alot
berlindung	ngiuhan
bayaran	bayaran
warna	pulas
amplop	amplop
banyuwangi	banyuwangi
gambar	gambar
mengiyakan	muhun
dorongan	surung
bersembunyi	nyumput
memencarkan	paburencay
alasannya	alatanna
beli	meser
ditebang	dituar
dimainkan	dipamainkeun
kedelapan	kadalapan
mimpi	impi
bulunya	buluna
awalan	awit
dipelajari	diulik
tawaran	nawaran
harganya	hargana
dulunya	baheulana
sebanyak	salobana
diperoleh	dimeunangkeun
kita	urang
sersan	sersan
menggoreng	ngagoreng
nilai	peunteun
secepatnya	saenggalna
diisi	diisian
botol	botol
mendeskripsikan	ngajentrekeun
siang	beurang
mencerna	nyerna
jari	ramo
kegembiraan	kaatoh
kesepian	ngarasa tiiseun
parasit	mangandeuh
berdekatan	padeukeut
kegembiraan	kabungah
mencuri	maok
berarti	kukituna
memberi	bikeun
got	solokan
diketahui	dipikanyaho
berbuat	nyieun
menempatkan	nempaketkeun
pernah	kungsi
gagasan	ideu
senior	senior
bakatnya	bakatna
babat	angen kadut
keyakinan	kayakinan
berakal	berakal
lurus	lempeng
neraka	naraka
bawah	handap
menyakiti	nganyenyeri
apa	naon
menyanyikan	ngahaleuangkeun
kuliahnya	kuliahna
babi	bagong
menghindari	ngajauhan
mata	panon
batara	dewa
kediaman	panyicingan
anyar	anyar
asuhan	budak nu diasuh
awasi	dititenan
diangkut	dicandak
ditinggalkan	ditinggakeun
bacaan	maosan
raksasa	raksasa
berikan	merekeun
ditawari	ditawisan
koin	receh
penenang	panenang
gantungan	gantungan
tahap	tahap
amanah	amanah
rektor	rektor
kenalan	kawanohan
biarpun	sawios
menyampaikan	nepikeun
akhlak	akhlak
kerjanya	gawena
administrasi	administrasi
kotak	kotak
adalah	nyaeta
berbuah	buahan
sekumpulan	sakumpulan
baginda	kangjeng
berakhir	rengse
dan	jeung
mengadu	ngadukeun
jasad	awak
aktifnya	aktifna
hiasan	gadik
inginkan	hayang
kesayangan	kanyaah
adanya	ayana
aroma	wawangian
andal	andel
samurai	samurei
melatih	ngajar
dilakukannya	dilakonan
mengoreksi	mariksa
banteng	banteng
tubuhnya	awakna
baptis	baptis
kegembiraan	kabungahan
barisan	rendengan
bubur	bubur
janda	randa
anak	budak
debat	debat
gugatan	purwadaksi
dipimpin	dipingpin
posisi	posisi
alergi	alergi
karung	karung
fokus	soson-soson
laksamana	admiral
terputus	kapegatkeun
paman	mamang
berkabar	ngabarkeun
menyaksikan	lalajo
penyelamat	panulung
kuning	koneng
derek	derek
menghuni	nyicingan
diri	salira
jam	tabuh
acara	hajat
pelaku	palaku
dipisah	dipisah
areal	area
ironis	karunya
mendengarnya	ngadengekeun eta
detik	detik
pengendalian	pangawasan
marinir	marinir
menyeberangi	meuntas
kabar	larapan
amat	kacida
ketinggian	kajangkungan
bakar	ngaduruk
burung	manuk
mentawai	mentawai
datar	ceper
sesama	papada
monitor	pangawasan
berasal	asalna
adatnya	kalakuanana
hendak	eudeuk
umur	umur
dosis	dosis
mencukur	nyukur
bos	dunungan
aktif	aktif
putri	awewe
aktifitas	kagiatan
bakso	bakso
agamanya	agamana
pantat	birit
hasilnya	hasilna
individu	sorangan
menunggu	ngantosan
berhadapan	pahareup-hareup
berbohong	ngarahul
hati	manah
peserta	anu ngiringan
angel	hese
diproses	diproses
perairan	pacaian
pembuka	bubuka
kafe	kafe
tidur	hees
bertatapan	papayun-payun
nasib	kulak cangeum
kesembilan	kasalapan
sedih	sedih
mencerdaskan	ngadidik
menjulang	ngahluhuran
utamanya	utamina
gak	teu
bernilai	ajen
lobi	lobi
bunda	ema
segaris	sagurat
kuat	kiat
penggemar	panggemar
ditulis	ditulis
dipanggil	digeroan
surya	panonpoe
aspirin	aspirin
hasrat	kahoyong
opsir	opsir
diinginkannya	dipikahoyong
sibuk	riweuh
korban	korban
usah	teu kenging
argumen	alesan
kerabat	karabat
analis	analis
selai	sale
lubang	liang
diabetes	diabetes
menyimpan	nyimpen
akhlak	paripolah
dirasakan	dirasakeun
isyarat	tanda
dapat	kenging
siklus	siklus
instruksi	pituduh
menuliskan	nuliskeun
perut	patuangan
gelombang	lambak
kisah	carita
menuliskan	nyeratkeun
dihargai	dihargaan
dayung	weleh
celaka	cilaka
bekasi	bekasi
alur	alur
inilah	ieu lah
berfokus	pokusna
kandungan	kandungan
agar	ambeh
belakangan	tukangeun
beliau	anjeunna
beraktivitas	beraktipitas
antaranya	antarana
kebun	kebon
asinan	asinan
pintu	lawang
cipta	pancipta
perak	perak
beriman	beriman
diatur	diatur
bermanfaat	mangpaat
dikenakan	diwanohkeun
wartawan	wartawan
mode	mode
etika	tatakrama
kala	wanci
lawan	musuh
belah	palebah
kesalahan	kasalahan
wajib	kudu
ciptaan	jieunan
bersebelahan	sabelahan
lebih	leuwih
kursi	korsi
kenal	kenal
di	di
mengadopsi	ngadopsi
memulai	ngamimitian
duyung	duyung
bawahnya	handapeun
politisi	pulitisi
pukul	babuk
celana	lancingan
berjuang	bajoang
pukul	tabuh
menguatkan	nguatkeun
kedinasan	kadinasan
blok	blok
berbisa	peurahan
akbar	agung
rumah	rorompok
alpen	alpen
ditampilkan	dipintonkeun
bahasan	pedaran
azan	azan
isyarat	rindat
menjadikan	nyieun
untuknya	kanggo
basi	bari
dibesarkan	digedekeun
rencana	rencana
daging	daging
meninggalkan	ninggalkeun
hadir	ngahadiran 
beranjak	miang
negeri	nagari
kejujuran	kajujuran
sampah	runtah
gunting	gunting
barunya	enggalna
mencaduk	ngaduk
sepiring	sapiring
ayah	bapa
rangking	rangking
jati	jati
tertutup	katutup
arsitek	arsitek
balut	bulen
isu	beja
wajib	wajib
keputusan	kaputusan
abi	sipatna
system	sistem
menyusun	nyusun
bakar	beuleum
ujian	cobian
mentah	atah
sisa	sesa
dilayani	dilayanan
tikungan	pengkolan
batangan	batangan
adapula	aya oge
bagan	skema
mendatangi	datang ka
mengutip	mawa
ah	ah
sulit	hese
utusan	wawakil
imbalan	buruh
alasan	alesan
ceria	marahmay
bereaksi	polahna
aba-aba	komando
amatir	anyaran
berlakunya	kalakuana
sahabat	babaturan
arifin	aripin
menguntungkan	nguntungkeun
peserta	anu miluan
dicari	dipilari
pembuangan	pamiceunan
menular	tepa
sedikitnya	saeutikna
basuh	wasuh
pinjaman	injeuman
gua	guha
berat	beurat
mengandungi	ngandung
ribuan	rebuan
suami	salaki
barang	barang
perut	lambut
adonan	adonan
tokoh	tokoh
harta	pakaya
bawahan	handapeun
kasus	kasus
walaupun	sanajan
jadwal	jadwal
penyakit	panyakit
alum	layu
cincin	cingcin
cepatlah	geuwat
buat	ngajieun
berpasangan	sasarengan
pria	bujang
waktu	wanci
matahari	panonpoe
mengikuti	ngiluan
menyukai	resep
arizona	arizona
menurun	ngurangan
naluri	insting
mengumpulkan	ngumpulkeun
kecil	alit
kepalanya	sirahna
minuman	inuman
generator	jenset
kebebasan	kabebasan
anaknya	budakna
kategori	macem
antibodi	antibodi
petarung	patarung
keempat	kaopat
budayanya	budayana
bambu	tamiang
agus	tubagus
abu	kekebul
kentut	bobos
kriminal	kriminal
badannya	awakna
ambil	candak
diraih	dihontal
ikatan	sabebedan
dipelihara	diurus
demokrat	demokrat
merbau	merbau
insiden	insiden
semalam	sapeuting
leher	beuheung
tampaknya	kacirina
film	pilem
kehangatan	kahaneutan
bangkai	bugang
diangkut	ngunjalan
rekan	rencang
menguat	nguatkeun
hobi	karesep
ilegal	ilegal
menolak	nolak
angkasa	jomantara
becak	beca
anda	sia
pengap	eungap
belum	encan
tumpah	leber
adat	adat
laci	sorogan
dihubungkan	disambungkeun
kue	kueh
iklan	reklameu
membenarkan	ngalereskeun
semula	mimiti
setiap	unggal
dipantau	ditingalikeun
kedatangan	kasumpingan
yakni	nyaeta
terutama	utamina
kepulauan	kepulauan
lembar	kebet
aset	kabeungharan
gatal	ateul
dikelola	dikokola
investor	pamodal
pipa	pipah
akurat	akurat
bukunya	bukuna
dimulai	dimimitian
aset	modal
menyimpan	nendeun
terbawa	kabawa
masuk	asup
cerita	carita
diperkenalkan	dikenalkeun
menghentikan	eureun
tarian	tandakan
diam	calik
balapan	balapan
keras	teuas
terdahulu	tiheula
ke	ka
angkat	diangkat
beragama	beragama
berangkat	mios
bir	bir
tentang	ngeunaan
mangkuk	mangkok
berdirinya	ngadegna
pengantar	bubuka
akalnya	akalna
poin	poin
sekolahnya	sakolana
hijau	hejo
supaya	supados
berakhir	tungtung
mengungkapkan	nyingkab
mertuanya	mitohana
kehormatan	kahormatan
artikel	serat
nona	mojang
dipisahkan	dipisahkeun
insan	jalma
mengatakan	nyarios
bahaya	bahaya
jasad	mayit
wabah	gebug
akun	akun
mengerjakan	ngadamelan
kurma	kurma
penyiksaan	panyiksaan
cepat	enggal
kentut	hitut
seks	seks
tang	panyapit
berbalik	malik
berjalan	leumpang
komitmen	jangji
kamera	kamera
kamu	maneh
isu	gosip
kabur	rumeuk
atmosfer	atmosfer
mendingin	tenang
dijodohkan	dijodokeun
tempat	tempat
wajah	raray
bunganya	kembang eta
sumber	asal
makhluk	makhluk
kaca	eunteung
temen	babaturan
jawab	ngajawab
upayanya	usahana
malu	isin
tuhan	pangeran
berapi	seuneu
hari	poe
seseorang	saurang
persediaan	sadia
geng	paguyuban
asap	haseup
pecundang	euweuh kawani
kejadian	kajadian
pembeli	nu meuli
identitas	identitas
keinginan	kahoyong
tiarap	langsud
tinggi	luhur
kuliah	diajar
meninggal	paeh
itu	eta
bergelut	papuket
firman	ucapan
terowongan	torowongan
aku	dewek
teknik	teknik
dilepaskan	dileupas
hitam	hideung
berhubungan	patalina
nyonya	garwa
penis	sirit
menyertakan	ngalampirkeun
dibongkar	dioreg
ide	ideu
menetapkan	muguhkeun
gampang	gampang
koloni	koloni
sejajar	sajajar
cabe	cabe
kentang	kumeli
semoga	muga
terpotong	kapotong
ceritanya	caritana
sepatu	sapatu
tongkat	iteuk
kurang	kirang
kamu	anjeun
disebutkan	disebatkeun
mengatakannya	nyarioskeun
anda	anjeun
perasaan	raraosan
bakunya	kabiasaanna
lamanya	lamina
bermula	mimitina
udang	udang
berdirinya	nangtungna
monyet	monyet
berukuran	ngurangan
membalas	ngabales
bajunya	pakeanna
batuk	gohgoy
mengundang	ngondang
lupakan	hilapkeun
bocah	budak
utama	utami
sisanya	sesana
ijin	ijin
istirahat	minge
meneliti	nalungtik
bengkulu	bengkulu
tiga	tilu
jendral	jendral
bahkan	komo
antimalaria	antimalaria
suntikan	suntikan
arah	arah
dibiayai	dibayaran
ditempati	ditempatan
halangan	hahalang
mengarahkan	ngarahkeun
putus	pegat
hentikan	eureunkeun
keadilan	kaadilan
advokasi	advokasi
roti	mari
listrik	listrik
terkejut	reuwas
haruskah	kedah
pribadi	sorangan
berlebihan	kalangkungan
tampan	kasep
pelanggaran	palanggaran
akad	akad
berkeadilan	kadilan
keraguan	kamangmang
mengucapkan	ngauntapkeun
kencing	kiih
kolam	kulah
donat	donat
asap	kebul
inspektur	inspektur
hidup	hirup
bertambahnya	nambahanna
kabar	beja
jenius	pinter pisan
keringat	kesang
beralasan	alatan
galur	galur
sederet	sajajar
punah	punah
dihabiskan	diseepkeun
terpisah	kapisah
jago	bisaan
kolam	balong
sungai	walungan
akhirnya	tungtungna
nafas	napas
diselesaikan	dibereskeun
komunikasi	komunikasi
senang	raos manah
batangnya	gagang 
menginginkan	hayang
dituliskan	diseratkeun
baca	maca
perkataan	omongan
disinggahi	didatangan
gadis	mojang
membatalkan	ngabatalkeun
pasta	pasta
tenun	tenun
bahasanya	basana
berkelebihan	kaseuran
aceh	ateul
dasar	dasar
tertua	kokolot
agak	kosna
mainan	kaulinan
dikabarkan	dibejakeun
ternyata	nyatana 
psikologi	psikologi
kalah	kawon
pelayanan	pangladen
kusut	karijut
berbicara	ngomong
beralih	beralih
titik	cecek
boleh	meunang
memburu	moro
dicari	diteang
alif	alif
risiko	mamala
ibumu	indung maneh
tangga	tangga
dekorasi	papantas
tersimpan	kasimpen
sejumlah	sajumlah
jika	manawi
hidung	irung
dipasang	dipasang
menyenangkan	pikareseupeun
spesies	jenis
dipercaya	dipercanten
barisan	jajaran
duduk	linggih
orang	jalmi
germo	germo
gak	henteu
kostum	acuk
apartemen	apartemen
artinya	artina
awak	badan
seminar	seminar
jago	jago
karenanya	lantaran eta
dikelilingi	dikuriling
penjualan	icaleun
diperoleh	dikengingkeun
mereka	manehna
atau	atanapi
beradat	beradat
digantikan	digentoskeun
tanaman	pepelakan
apit	jepit
ahad	minggon
bundar	bundar
hotel	hotel
depresi	gelo
diperluas	dilegaan
siaran	embar
pilihan	pilihan
alang	halang
akrab	dalit
utara	kaler
berasa	karasa
disusun	disusun
alias	sabenarna
radiasi	radiasi
abdul	abdu
menurunkan	nurunkeun
dikelompokkan	dijumplukeun
buahnya	buahna
menko	mentri koordinator
video	vidio
mencium	nyium
diminta	disuhunkeun
monitor	monitor
hantu	jurig
lunak	emoy
berdoa	ngadoa
berbaju	acuk
tulisan	seratan
guna	pikeun
ambarawa	ambarawa
terlihat	katingali
kelemahan	kalemahan
penemuan	pendakan
pikirkan	pamikiran
berdasarkan	dumasar
batin	sanubari
pagar	kuta
huruf	pegon
artikel	warta
bertenaga	tanagaan
jasad	raraga
sedih	sungkawa
dilaksanakan	dilaksanakeun
arsitekturnya	arsitekturna
berangkat	mangkat
gaji	upah nu dibayarkeun
karir	karir
pengetahuan	pangawereuh
basis	taneuh
mengontrol	ngecek
mencapai	ngahontal
menggonggong	ngagogog
dihasut	dihasud
pribadi	pribados
disini	didieu
mendengarkan	ngadangukeun
suka	resep
karena	lantaran
garis	gurat
penyiar	panyiar
dinamai	dingaranan
rekannya	babaturanna
gabungan	di-hiji-keun
isolasi	isolasi
dilagukan	dilagukeun
habis	beak
mengisahkan	nyaritakeun
keseluruhan	sakabehan
roman	pande
menjala	ngala lauk
mengemban	mawa
faktor	faktor
bercerai	pirak
turun	pudun
tujuan	tujuan
cepat	gancang
alatnya	parabotna
mengorbit	orbit
akalnya	pamikiranna
abu-abu	kulawu
jelek	goreng
disarankan	dibongbolongan
bagian	wareh
karate	karate
dialog	paguneman
belakang	pengker
basuh	basuh
baunya	bangseng
membelokkan	mengkolkeun
laci	laci
akar	akar
tindak	lampah
kepemimpinannya	kapamingpinanna
bercanda	bobodoran
simpan	teundeun
dikerjakan	dipigawe
pelajaran	pangajaran
dijelaskan	dijelaskeun
berbunyi	soraan
beri	mere
menghambat	ngahalangan
memeriksa	marios
zamannya	mangsa
isyarat	isarat
seperti	sapertos
serius	daria
kalkun	kalkun
ringan	hampang
dukungan	pangrojong
giliran	giliran
waktunya	waktosna
pedas	seuhah
tunggu	antosan
separuh	satengah
turun	lungsur
pantai	basisir
arti	maksud
pilot	pilot
seorang	nyalira
berniat	boga niat
asongan	asongan
menjangkau	ngahontal
kenaikan	kanaekan
usaha	usaha
impian	impian
duta	jelema perwakilan 
paman	emang
bambu	gombong
sebaliknya	sakuduna
kerjasama	gawe bareng
pengaturan	pangaturan
federasi	organisasi
tajam	seukeut
meneruskan	nuluykeun
bersuami	gaduh caroge
ucapan	omongeun
apakah	naon
pernyataan	parnyataan
cerita	talatah
dilahirkan	ngajuru
menyerahkan	nyerahkeun
mendesak	pangjurung
agar	jadina
amanat	pihape
baris	rendeng
cewek	istri
tiup	niup
barus	barus
asosiasi	paguyuban
gergaji	gobang
kantong	pesak
shalat	solat
usah	tong
telur	endog
aksen	logat
coba	nyoba
petunjuk	parentah
kencang	tereh
penulis	nu nulis
kasus	perkara
durhaka	doraka
gerbang	saketeng
diperkuat	diperkuatk
bisnis	usaha
belitung	belitung
turis	bule
mengenal	ngawanohkeun
politik	politik
mantra	mantra
ganas	galak
ayahnya	bapana
delapan	dalapan
pemenang	jawara
antioksidan	antioksidan
suci	suci
ahli	tukang
bagai	siga
ketua	 pupuhu
dayung	dayung
ponsel	telepon
campur	campur
beraroma	bau
albania	albania
alias	juluk
demam	nyenyepan
bawa	mawa
menginspirasi	mere pentujuk
putaran	puteran
menitik	ngeclak
impian	riwan
diperlihatkan	ditingalikeun
beralasan	lantaran
beresiko	resikona
terjatuh	labuh
awang	awang
tamu	tamu
dapur	pawon
setinggi	luhurna
rahasia	rasiah
mengelompokkan	ngelompokeun
balok	bulukan 
pita	pita
kakak	aceuk
surya	suria
awas	awas
kakak	lanceuk
dendam	dengdem
beranak	ngalahirkeun
suasana	kaayaan
diperkuat	dikuatkeun
beritahu	ngabejaan
seluruhnya	kabehanana
ketiganya	katiluna
kain	lawon
matematika	matematika
jaket	jeket
mengecil	ngaleutikan
anaknya	murangkalihna
temui	papanggih
batu	batu
pistol	bedil
berawal	mimiti
ikuti	ngiringkeun
judulnya	judulna
pajak	pajak
diberikan	dipasihkeun
anjing	anjing
bekas	sesa
kepandaiannya	kasingeranna
edisi	terbitan
dukung	dukung
racun	racun
dikuras	dibedahkeun
tunduk	ngeluk
berbintang	bentang
penguasa	pangawasa
skala	skala
jago	hebat
kekurangan	kakirangan
menggali	ngali
kau	sia
raja	raja
umur	yuswa
markas	markas
bola	bal
kau	maneh
agenda	acara
mengabadikan	ngalanggengkeun
tunggu	dagoan
larangan	larangan
sementara	samentawis
tanaman	tutuwuhan
anemia	anemia
berkekuatan	kakiatan
berbentuk	wangunna
kuburan	astana
wajah	beungeut
dikeluarkannya	dikaluarkeunana
halus	lemes
hakim	hakim
bakat	watek
menggunakan	ngagunakeun
sarang	sarang
kanker	kanker
keagamaan	kaagamaan
kode	kode
pencipta	panyipta
bagas	bagas
buku	buku
bantu	tulung
ancol	ancol
bahrain	bahrain
pihak	pihak
memenuhi	minuhan
harta	banda
alami	alami
lawan	lawan
jantung	jajantung
rasa	rasa
skenario	skenario
album	album
amir	kapala
desa	lembur
humor	banyol
dewasa	sawawa
mengolah	proses
empedu	empedu
bisakah	tiasakan
disusul	disusul
awam	jelema biasa
menafsirkan	ngahartoskeun
dihasilkan	dihasilkeun
kontak	hubungan
menduduki	ngadiukan
paman	amang
memukul	nakol
bayaran	pamayaran
pelindung	nu ngajaga
kerumunan	kumpulan
bentuknya	bentukna
belakangan	pengkereun
biarkan	ingkeun
wanita	istri
telepon	telepon
allah	pangeran
emisi	emisi
nyonya	pamajikan
sombong	songong
kurikulum	kurikulum
taman	taman
urusan	peryogi
mencair	ngalembereh
dll	jeung sajabina
berdiri	nangtung
balkon	balkon
arak	arak
target	inceran
sepertiga	hiji per tilu
kebajikan	kaalusan
sebenarnya	saleresna
berdebat	debat 
kerusakan	karusakan
azimut	azimut
bungkus	mulen
diminum	dieueut
disuruh	dipiwarang
pameran	pameran
berlisensi	salisih
mendeklarasikan	nyatakeun
alaihi	alaihi
penyerang	panyerang
ajaibnya	gaibna
ambisi	itikad
suaranya	sorana
angel	lila
kedokteran	kadokteran
komandan	komandan
jaringan	raramat
diaduk	dikocek
haruskah	kudu
bisu	pireu
taruhan	tarohan
cowok	lalaki
publik	umum
kebencian	ngewa
jatuhnya	labuhna
gulat	gelut
mama	ema
antara	antara
tolong	tulung 
menara	menara
syarat	sarat
pintunya	pantona
daun	daun
barus	kamper
dewan	wawakil
awas	kade
kapas	kapas
zaman	jaman
berbicara	nyarios
dibicarakan	diomongkeun
menyarankan	nyarankeun
lorong	lurung
mahkota	makuta
uang	duit
beraneka	rupa-rupa
bensin	bengsin
turunkan	turunkeun
edisi	edisi
ditambahkan	ditambahkeun
jujur	jujur
biasa	biasa
bertelur	nujun gendog
benar	leres
berkembang	ngembang
alfa	alfa
sampingnya	gigireun
selain	sajaba
arthropoda	artropoda
rakyat	rahayat
alim	alim
racun	warangan
ekor	kumpay
mendua	ngadua
siaran	embaran
kariernya	karirna
berkelahi	tarung
beralkohol	beralkohol
umurnya	umurna
atap	suhunan
generasi	seuweu-siwi
dibunuh	dipodaran
amalan	amalan
teman	rerencangan
obrolan	cacaritaan
diizinkan	diwidian
noda	kokotor
merauke	merauke
arahan	pituduh
sikat	sikat
istirahat	istirahat
tim	tim
museum	musium
batuk	bantuk
sejauh	sajauh
kapan	iraha
roti	roti
airnya	caina
bapaknya	bapana
perampok	parampok
daerah	wewengkon
gagak	manuk gagak
syukuran	sukuran
aku	abdi
isinya	eusina
arabica	arabika
perbuatan	gawena
buktinya	buktina
bernafas	napas
bertugas	keur tugas
disimpan	diteundeun
babat	babat
pengobatan	pangubaran
teorinya	teorina
diteruskan	diteraskeun
aslinya	aslinya
kecuali	iwal
ayu	geulis
ajaib	aneh
menguji	ngates
peti	peti
juri	juri
rawa	embel
pukul	teunggeul
warna	warna
salju	salju
kulkas	kulkas
aplikasi	aplikasi
akibatnya	balukarna
kepandaian	kasingeran
berdinas	dinas
guntur	guludug
kencang	gancang
bekas	urut
bara	burahay
cantik	geulis
dermawan	balabah
kemudi	kamudi
biskuit	kueh
kartu	kartu
tahunnya	nyahona
adegan	adgan
ternak	ingon-ingon
amat	pisan
tikus	beurit
baginya	pikeun anjeunna
menyanyi	ngalagukeun
sendiri	nyalira
arus	aliran
huruf	aksara
pondok	pondok
merek	merek
jarak	jarak
keterangan	katerangan
diwariskan	diwariskeun
kacang	kacang
kenapa	naha
dahulunya	baretona
anggap	anggap
ujian	cocoba
pinggang	bobokong
buang	piceun
mengiringi	ngiringi
selepas	saatos
kebersihan	bersih
bicarakan	nyarioskeun
menyesal	kaduhung
pemakaman	kuburan
peramal	dukun
semak	gerembel
meniti	leumpang
asahan	pangasahan
antagonis	antagonis
bercampur	kaaduk
bercerita	ngawangkong
cita	encit
menyebutkan	nyebutkeun
roda	kikiping
badannya	salirana
arena	arena
mayat	mayit
jam	waktos
cinta	duriat
menyiarkan	nyiarkeun
orangtua	indung bapa
mendapatkannya	ngameunangkeun
memelihara	ngajaga
ayahnya	ramana
abadi	salawasna
usaha	ihtiar
kebencian	ceuceub
tanam	pelak
menyewa	nyewa
asmara	bogoh
mau	hayang
pendidikan	atikan
ziarah	jiarah
ladang	 kebon
alkali	alkali
dolar	dolar
otak	polo
bumbunya	samarana
belum	acan
jasa	guna
membentuk	nyieun
karung	kadut
hambatan	wagelan
keenam	kagenep
cabai	cengek
mengangkatnya	ngangkat eta
ukuran	ukuran
korek	korek
arwah	roh
mainan	cocooan
tema	jejer
cermin	kaca
alasan	alatan
rehabilitasi	rehabilitas
sebesar	sagede
