aba	obo
kekuasaan	kekuasaan
kekuatan	kekiyatan
kekuatan	kekuwatan
kekuatan	kekuwawen
kelahiran	kelairan
kelahirannya	kelairane
kelak	sok mben
kelakuan	polah
kelamaan	kesuen
kelangsungan	kelangsungan
kelapa	degan
kelapa	kambil
keledai	keledai
kelihatannya	ketok'e
kelinci	kelinci
kelopak	kelopak
keluar	metu
keluarga	kluargo
keluarganya	keluargane
keluarkan	tok ke
keluarnya	metune
kemajuan	kemajon
kemampuan	kabisan
kemampuan	kesagedan
kemana	nandi
kemarau	garing
kemari	mrene
kemarin	wingi
kemauan	kepingin
kembali	mbalek
kembalikan	balek ke
kembalilah	balio
kembalilah	mbalik o
kembalinya	baline
kembalinya	mbalik e
kembar	kembar
kemewahan	kemegahan
kemiri	miri
kemiskinan	kemlaratan
kemudi	lakok
kemudian	banjur
kemudian	bar e
kemudian	mari ngono
kemungkinan	menawi
kemungkinan	menowo
kenal	kenal
kenalan	kenalan
kenapa	kenopo
kencan	gendakan
kencang	banter
kencing	nguyuh
kencing	toyan
kendali	kedhangsul
kendali	kendhali
kendaraan	kendaraan
kental	kentel
kentang	kentang
kentut	ngentut
kepada	kanggo
kepadanya	kanggone
kepala	endas
kepala	endhas
kepala	mustaka
kepala	sirah
kepalanya	endase
kepastian	kepastian
kependekan	ke endek'an
keperluan	kebutuhan
kepiting	yu-yu
kepiting	yuyu
keponakan	keponakan
kepuasan	kepuasan
kerabat	sedulur
kerah	kerah
kerajaan	keraton
kerang	kijing
kerangka	kerongko
keranjang	keranjang
keras	atos
kerasnya	atose
kerasukan	ndadi
kerbau	kebo
kerdil	kuntet
kereta	kereto
kering	garing
keringat	keringet
keringat	kringet
keringkan	garingke
keripik	keripik
kerja	kerjo
kerja	nyambut gawe
kerjanya	kerjone
kertas	dlacang
kertas	dluwang
keruh	butek
kerusakan	kerusakan
kesalahan	kelepatan
kesalahan	keluputan
kesatria	satria
kesatuan	kamanunggalan
kesayangan	ketresnan
kesedihan	kewelasan
kesejahteraan	keminulyoan
keselamatan	kawilujengan
keseluruhan	kabehane
keseluruhannya	sekabehane
kesembilan	ke songo
kesemuanya	sekabehane
kesenangan	kebungahan
kesenangan	kesenengan
kesepakatan	kesepakatan
kesepian	kesepian
kesimpulan	kesimpulan
kesombongan	kedumehan
kesudahan	ke uwisan
kesukaan	kegemaran
kesuksesan	kesuksesan
kesulitan	kangelan
ketakutan	keweden
ketemu	pethuk
ketenaran	ketenaran
ketertarikan	daya tarik
ketiak	kelek
ketiga	ke telu
ketiganya	ke telon
ketimbang	ketimbang
ketinggian	kedhuwuren
ketinggian	keduwuren
ketua	pandega
ketua	pangarep
ketua	pangarsa
ketujuh	ke pitu
ketumbar	tumbar
ketupat	kupat
keturunan	turunan
keturunan	turunane
keturunannya	turunane
kewenangan	wewenang
keyakinan	kepitadosan
khusus	kusus
khususnya	kususe
kidal	kidal
kidul	kidul
kijang	kidang
kilat	bledek
kilat	petir
kimia	kimia
kinerja	kerja
kini	saiki
kini	sakmenika
kira	kiro
kiranya	kirone
kiri	kiwa
kiri	kiwo
kiriman	kiriman
kirinya	kiwone
klub	klub
kode	kode
kodok	kodhok
kodok	kodok
koin	koin
koktail	bir
koktail	ciu
kolam	blumbang
kolektor	kolektor
kolom	kolom
kolonel	kolonel
koloni	koloni
komandan	komandan
komedi	lawakan
komersial	iklan
komet	komet
komik	komik 
komisi	komisi
komitmen	komitmen
kompas	kompas
kompensasi	kompensasi
kompetisi	kompetisi
kompleks	komplek
komponen	bagian
kompor	kompor
komputer	komputer
komunikasi	komunikasi
komunikasi	omong-omongan
komunis	komunis
kondangan	buwoh
kondom	kondom
konflik	tukaran
konspirasi	konspirasi
konstan	pancet
konstruksi	konstruksi
konsultan	konsultan
kontak	kontak
kontrak	kontrak
konvensi	konvensi
konvoi	konvoi
koordinat	koordinat
kopi	kopi
koran	koran
korek	korek
korek	rek
koridor	koridor
koroner	koroner
korupsi	korupsi
kosong	kotong
kostum	anggen-anggen
kota	kitha
kota	kutha
kotoran	regetan
kraton	kraton
kreatif	kreatif
kredit	kredit
kriminal	tumindak ala
kru	kru
ksatria	ksatria
kuah	duduh
kuahnya	duduhe
kuali	wajan
kuantum	kuantum
kuasa	kuoso
kuasai	nguasai
kuat	roso
kubilang	tak kandhani
kubur	kubur
kucing	kuceng
kucing	kucing
kuda	jaran
kuda	turangga
kuil	candhi
kuliah	kuliah
kulihat	tak delok
kulit	kulet
kulit	lulang
kulitnya	kulite
kulkas	kulkas
kumis	brengos
kunci	kunci
kuning	kuneng
kunjungan	kunjungan
kunyit	kunir
kura	kuro
kurasa	rumangsa
kurcaci	kurcaci
kursi	kursi
kursus	kursus
kurun	mongso
kurungan	kurungan
kutipan	petikan
kutu	tumo
kutukan	ngipat-ipati
l	l
label	label
labirin	labirin
laboratorium	laboratorium
labu	waluh
laci	laci
lada	mrico
lagi	meneh
lagu	sekar
lagu	tembang
lahan	palemahan
lahir	lahir
lahirnya	lahire
lain	lio
lainnya	liane
lajang	bujang
laki	lanang
laksamana	laksamana
laku	payu
lakukan	lakokno
lalapan	kulupan
lama	suwi
lamanya	suwine
lambang	lambang
lampu	lampu
landasan	landasan
langit	langit
langit	tawang
langka	longko
lantai	jogan
lantainya	jogane
lap	lap
lapang	jembar
lapang	ombo
lapangan	lapangan
lapar	ngeleh
lapis	rangkep
laporan	laporan
laptop	laptop
lari	mlayu
larinya	mlayune
las	las
latihan	latian
lauk	lawuh
laut	seganten
laut	segara
laut	segoro
lautan	segoro
lawan	musuh
lawas	suwi
layar	layar
lbu	ibuk
lebah	tawon
lebar	jembar
lebar	ombo
lebarnya	ombone
lebat	deres
lebat	lebet
lebih	luwih
legenda	legendha
leher	gulu
lekas	endang
lelah	kesel
lelaki	jaler
lelaki	kakung
lelaki	lanang
lelang	lelang
lele	lembat
lelucon	guyon
lelucon	guyonan
lem	lem
lembar	lembar
lembaran	lembaran
lembut	alus
lemparan	balang
lemparan	uncalan
lengan	lengen
lengkuas	laos
lensa	lensa
lepas	ucul
lepaskan	uculke
les	kursus
letak	deleh
letakkan	delehke
letusan	njebluk
lewat	liwat
liburan	preian
lidah	ilat
lihat	delok
lihatlah	delok'en
lima	limo
lingkungan	lingkungan
lingkungan	panggonan
lintang	bintang
lipat	lempet
lipstik	gincu
lipstik	lipstik
lirik	cakepan
liriknya	lirike
lisan	lambe
listrik	listrik
liver	ati
lobi	lobi
lobster	lobster
logam	logam
logika	logika
logis	nalar
lokasi	panggon
lokasinya	panggone
lomba	lomba
lombok	lombok
lompat	mlumpat
lompatan	pencolotan
lonceng	krincingan
lontong	lontong
lorong	lorong
loteng	loteng
lotus	lotus
loyalitas	loyalitas
ltu	iku
luar	njaba
luar	njobo
luarnya	njobone
luas	jembar
luasnya	jembare
lubang	bolongan
lubuk	njero
luka	borok
luka	cidro
luka	koreng
lukisan	gambaran
lulusan	lulusan
lumpuh	lumpoh
lumpur	bletokan
lumuri	baluri
lumut	lumot
lunak	empuk
lunak	jemek
lunasi	lunasi
lupa	lali
lupakan	lalikno
luput	lali
lurus	jejeg
lusa	sok mben
lusin	lusin
lutut	dengkul
maaf	ngapuro
maafkan	ngapurane
macamnya	jenise
macan	macan
madang	madang
madang	mangan
madu	madu
magang	magang
magnet	wesi berani
maha	moho
mahal	larang
maharatu	mohoratu
mahasiswa	mahasiswa
mahayana	mohoyono
main	dolan
mainan	dolanan
mainnya	dolanane
majalah	majaa
majikan	majikan
majikan	ndoro
maju	maju
majulah	majuo
maka	mulakno
makam	kuburan
makan	madang
makan	mangan
makanan	bhadokan
makanan	dhaharan
makanan	panganan
makanan	suguhan
makanan	wejangan
makananmu	pangananmu
makanya	mulakno
makhluk	urip-uripan
makmur	makmur
makna	makno
makna	werdi
maknanya	maknone
maksimum	maksimum
maksud	maksud
maksudku	karepku
maksudnya	maksude
malaikat	malaikat
malam	bengi
malam	dalu
malam	wengi
malamnya	mbengine
malang	mesakke
maling	maling
malu	isin
mama	emak
mama	ibuk
mama	simbok
mamak	simbok
mamaknya	embok'e
mampu	iso
man	manungsa
mana	endi
manajemen	manajemen
manajer	manajer
mandi	adus
mandi	pakpung
mandiri	dewean
manfaat	migunani
mangga	pelem
mangkat	mangkat
mangkok	rengkok
mangkuk	mangkok
mangkuk	rengkok
mangsa	mongso
mangsanya	mongsone
maniak	maniak
manis	legi
mantra	japa
mantra	montro
manusia	menungso
manusia	wong
manuver	manuver
marah	ngamuk
mari	ayo
mari	monggo
marilah	monggo
marine	warase
marinir	marinir
martabat	kamulyan
masa	mongso
masa	moso
masa	wayah
masak	masak
masakan	masaan
masalah	masalahe
masalah	perkoro
masalahnya	masalahe
masanya	wektune
masih	ijek
masih	isek
masing	dewe
massa	abot
masuk	mlebu
masukan	wejangan
masukkan	lebokne
masuklah	mlebu lah
masuknya	mlebune
mata	moto
mata	mripat
mata	pandeleng
mata	paningal
matahari	srengenge
matang	mateng
matanya	motone
matematika	matematika
material	bahan
mati	ninggal
mati	pejah
matikan	pateni
matinya	matine
matur	ngomong
mau	gelem
maukah	gelem ora
mawar	mawar
mayat	mayit
mayor	utomo
medali	medali
medan	medan
media	miyambakipun
meditasi	semedi
megah	gebyar
megah	mewah
meja	mejo
mekanik	mekanik
mekanisme	mekanisme
mekar	mekar
melacak	ngelacak
melahirkan	bayen
melaju	ngelaju
melaksanakan	ngelakokke
melakukan	ngelakokke
melalui	ngeliwati
melamakan	nyuwen-nyuweni
melamar	ngelamar
melambangkan	nandakke
melancip	ngeruncing
melanggar	nglanggar
melangkah	ngelangkah
melanjutkan	neruske
melantunkan	nembang
melarang	ngelarang
melarat	sengsoro
melati	melati
melatih	ngelatih
melawan	ngelawan
melayani	nglayani
melebihi	ngeluwihi
meledak	njeblug
melempar	nguncal
melengkung	mbengkong
melengkung	melengkung
melepaskan	nguculno
melepaskannya	ngeculke
meletakkan	ndelehke
meletakkan	nggletekke
meletus	njeblug
meletusnya	njebluke
melewati	ngliwati
melewatkan	ngliwatke
melihat	ndelok
melihatmu	ndeleng
melingkar	nglungker
melintas	lewat
melintasi	ngliwati
melinting	nglinting
melompat	nglumpat
meluaskan	njembarke
melukai	nyilokoi
melunak	mblenyet
melupakan	ngelalikno
meluruskan	ngluruske
memadamkan	mateni
memainkan	ndolani
memakai	ngagem
memakai	nganggo
memakai	nggawe
memakainya	nganggo
memakan	mangan
memakannya	mangan
memaksa	mekso
memalukan	ngisini
memanasi	nget
memancing	mancing
memandang	ndelok
memang	pancen
memanggil	ngundang
memanggil	nyeluk
memanggilnya	nyeluke
memanjat	menek
memasak	masak
memasang	masang
memasuki	ngleboni
memasukkan	nglebokke
mematahkan	nugelke
mematikan	mateni
membaca	ngewoco
membagi	ngedom
membakar	ngobong
membalas	mbales
membangun	mbangun
membantah	mbantah
membantu	ngewangi
membantu	nulungi
membantumu	ngewangi koe
membasuh	ngelapi
membatasi	ngewatesi
membawa	ngasta
membawa	nggowo
membawanya	nggowone
membayangkan	mbayangke
membayar	mbayar
membebaskan	mbebaske
membela	mbelo
membelah	mbeleh
membelai	elus-elus
membeli	nukoni
membeli	tuku
membeli	tumbas
membengkak	aboh
membentuk	mbentuk
memberi	ngenei
memberikan	ngenei
memberikannya	ngenehke
memberinya	ngekei
memberinya	ngenei
memberitahu	nge i reti
membersihkan	ngresii
membesar	mundak
membesarkan	nggedekke
membiarkan	ngejarkke
membicarakan	ngomongke
membongkar	mbongkar
membuang	ngguwang
membuat	nggawe
membuatnya	nggawe
membubarkan	mbubarke
membuka	mbukak
membuktikan	mbuktikke
membunuh	mateni
membunuhmu	mateni koe
membunuhnya	 mateni de'e
membusuk	mbosok
membutuhkan	butoh
memegang	nyekel
memelihara	ngingu
memeluk	ndekep
memenuhi	ngebaki
memerintah	ngongkon
memesan	ngewekasi
memilih	milih
memiliki	nduwe
memilikinya	nduweni
meminang	ngelamar
memindahkan	mindah
meminjam	njileh
meminta	njaluk
meminum	ngombe
memisahkan	misahke
memohon	nyuwon
memori	memori
memotong	ngetok
mempelai	mempelai
memperbagus	ngapii
memperbaiki	ngapii
memperbanyak	ngokehi
memperbarui	ngapii
mempercayai	percoyo
memperdalam	jerokke
mempergunakan	nggunakke
memperhatikan	ndelok
memperhatikan	nyawang
memperingati	ngerayakke
memperjuangkan	memperjuangke
memperkaya	ngayakke
memperkirakan	ngiro-iro
memperlihatkan	ndelokke
memperluas	ngambakke
memperluas	njembarke
memperoleh	entok
memperpanjang	ndawakke
mempersiapkan	nyiapke
mempraktikkan	mraktekke
memprotes	mrotes
mempunyai	nduweni
memuaskan	muaske
memudahkan	nggampangno
memuja	sungkem
memukul	nggebuk
memuliakan	muliakke
memunculkan	nimbulke
memundurkan	ngundurke
memurnikan	mbeningke
memutus	mutus
memutuskan	mutuske
menafsirkan	ngartekke
menaikkan	ngunggahke
menakutkan	medeni
menamai	njenengi
menamakan	njenengke
menambah	nambah
menambahkan	nambahi
menampakkan	ngetokke
menampilkan	ngetokke
menampung	nampung
menanak	ngedang
menanam	nandur
menanamkan	nandurke
menandakan	nandakke
menangis	nanges
menanjak	munggah
menanti	nunggoni
menantu	mantune
menantunya	mantune
menanyakan	nakokne
menara	menara
menara	menoro
menargetkan	nargetke
menari	njoget
menarik	narik
menata	noto
menatap	nyawang
menawarkan	nawakke
mencabut	mbubut
mencair	nyair
mencalonkan	nyalonke
mencampur	nyampur
mencampurkan	nyampurke
mencangkul	macul
mencangkul	nyangkul
mencari	goleki
mencari	nggolek
mencarikan	nggolekke
mencarinya	nggoleki
mencatat	nyatet
mencatatkan	nyatet
mencegah	nyegah
menceritakan	nyeritakke
mencetak	nyetak
mencintai	nresnani
mencintaimu	nresnani koe
mencintaimu	tresna sampeyan
menciptakan	nyiptakke
mencium	ngambung
mencoba	jajal
mencopot	nyopot
mencuci	ngumbah
mencukupi	nyukupi
mencukur	nyukur
mencuri	nyolong
mendaftar	ndaftar
mendaftarkan	ndaftarke
mendaki	ndaki
mendampingi	nderekke
mendapat	intok
mendapatkan	intok
mendapatkannya	entukake
mendapatkannya	ngentokke
mendatangi	nekani
mendatangkan	nekakke
mendekam	ndekem
mendekat	nyedak
mendengar	krungu
mendengarkan	ngerungokke
mendengarnya	ngerungokke
menderita	sengsoro
mendesak	ndesak
mendidih	umup
mendidik	ndidik
mending	mending
mendingin	ngadem
mendirikan	ngedekke
mendorong	nyurong
menduduki	nglungguhi
menduduki	njagongi
menduga	rasan-rasan
mendukung	ndukung
menebus	nebus
menegaskan	negaske
menekankan	nekanke
menekuni	nekuni
menelepon	ngebel
meneliti	neliti
menelpon	ngebel
menembak	mbedhil
menembak	nembak
menempati	manggoni
menempatkan	manggonke
menempelkan	nempelke
menempuh	nempuh
menemui	nemui
menemukan	nemokke
menemukannya	nemoni
menemukannya	nemukake
menentukan	nentokke
menerapkan	netepke
menerima	nompo
meneruskan	neruske
menetap	mapan
menetapkan	netepke
menetas	netes
menewaskan	mateni
mengabdi	ngabdi
mengadopsi	ngadopsi
mengadu	ngadu
mengagumi	ngagumi
mengajak	ngejak
mengajar	ngajar
mengajarkan	mulang
mengaji	ngaji
mengajukan	ngejokke
mengaku	ngaku
mengakui	ndakoni
mengakui	ngakoni
mengalahkan	ngalahi
mengalami	ngalami
mengalir	mili
mengamalkan	ngamalke
mengamankan	ngamanke
mengambil	jupuk
mengambil	njikok
mengambilnya	njikok
mengancam	ngancem
mengandalkan	ngandelke
mengandung	bayen
menganggap	nganggep
mengangguk	manggut
mengangguk	manthuk
mengangkat	njunjung
mengangkut	ngangkut
menganjurkan	nganjurke
mengantar	ngeter
mengantarkan	ngeterke
mengantarkannya	ngeterke
mengapa	ngopo
mengarahkan	nduduhi
mengasuh	ngasuh
mengatasi	ngatasi
mengatur	ngatur
mengawali	ndisiki
mengecil	nyilik
mengejar	nguber
mengelola	ngelolah
mengelompokkan	ngumpulke
mengeluarkan	ngetokke
mengeluh	ngeluh
mengemban	ngemban
mengembangkan	ngembangke
mengembara	ngemboro
mengenal	ngenal
mengenalkan	ngenalke
mengenang	ngenang
mengerikan	nggilani
mengerjakan	ngelakoni
mengerti	ngerti
mengerti	reti
mengetahui	ngerteni
mengetahuinya	mangerteni
menggantikan	nggenteni
menggarap	nggarap
menggendong	nggendong
menggigit	nyokot
menggugah	membangunkan
mengguncang	ngguncang
menghabiskan	ngentekno
menghadap	madep
menghadiri	nekani
menghadirkan	nekakke
menghalangi	ngalangi
menghalau	ngalangi
menghambat	ngalangi
menghancurkan	ngerusak
menghasilkan	ngasilke
menghasut	ngasut
menghembuskan	ndamu
menghentikan	mandekke
menghidupkan	nguripke
menghilang	ngilang
menghilangkan	ngilangke
menghina	ngino
menghindari	ngelakke
menghisap	nyedot
menghuni	manggon
mengikuti	ngintil
mengingat	ngeleng-eleng
mengingatkan	ngelekke
menginginkan	ngarepke
menginjak	midak
mengira	ngiro
mengirim	ngirem
mengirimkan	ngiremke
mengiringi	ngiringi
mengisi	ngisi
mengkonsumsi	mangan
mengonsumsi	mangan
mengoperasikan	nggunakke
menguasai	nguasai
menguatkan	nguatke
mengucapkan	ngucapno
menguji	nguji
mengukir	ngukir
mengukur	ngukor
mengumpulkan	nglumpukke
mengumumkan	ngumumke
mengundurkan	ngundurke
mengungsi	ngungsi
mengunjungi	sowan
menguntungkan	nguntungne
mengurangi	ngurangi
mengurus	ngurus
mengusahakan	ngusahakne
mengusir	ngusir
mengusulkan	ngajukne
menikah	mbojo
menikahi	mbojo
menikahi	ngerabi
menimba	nimbo
menimpa	nimpo
meninggal	ninggal
meninggalkan	ninggalno
meninggalnya	ninggale
meninggi	menduwur
meningkatkan	mundakne
meniru	niru
menirukan	birukke
menit	menit
menjadi	ndadi
menjadikan	ndadekke
menjadikannya	ndadikno
menjaga	jaga
menjaga	njogo
menjala	njolo
menjalani	ndalani
menjalankan	ngelakoni
menjatuhkan	nibakke
menjauh	ngadoh
menjawab	wangsulan
menjerat	njerat
menjual	ngedol
menjualkan	ngedolke
menjunjung	nyunggi
menolong	nulong
menolongnya	nulungi
menonton	nyawang
mentah	mentah
mental	mental
mentari	srengenge
mentri	mentri
menuangkan	ngesokke
menukar	nukerke
menukik	ndronjong
menular	nular
menulis	nulis
menuliskan	nuliske
menulisnya	nulise
menumpang	numpang
menunaikan	ngelakoni
menunjang	nunjang
menunjuk	ndudingi
menunjuk	nunjuk
menunjukkan	nduduhi
menurun	ndronjong
menurunkan	ngedunke
menurut	menurut
menurutnya	menurute
menutup	nutop
menyakiti	ngelarani
menyaksikan	nyeksekke
menyalahi	nyalahi
menyalurkan	nyalurke
menyambung	nyambung
menyambungkan	nyambungke
menyambut	nyambut
menyampaikan	nyampekke
menyangkut	nyangkut
menyanyi	nembang
menyanyikan	nembangke
menyatakan	ngaturakke
menyebar	nyebar
menyebarkan	nyebarke
menyeberangi	nyebrang
menyelam	ngelangi
menyelesaikan	ngerampungne
menyembah	nyembah
menyembunyikan	ndelekke
menyempatkan	nyempetke
menyempurnakan	nyempurnakke
menyenangkan	nyenengke
menyentuh	ndemek
menyerah	nyerah
menyerahkan	nyerahke
menyerap	menyerep
menyerupai	madani
menyewa	nyewo
menyisakan	nyisakke
menyukai	nyenengi
menyukainya	nyenengi
menyumbang	nyumbang
menyumbangkan	nyumbangke
menyusui	nyusoni
menyusul	nyusol
menyusun	nyuson
merah	abang
merah	abrit
merahasiakan	ngrehasiakke
merambat	ngerambat
merancang	ngerancang
merasa	ngerasa
merasa	ngeroso
merasakan	ngrasakke
merata	roto-roto
merawat	ngerawat
merayakan	ngrayakne
merebus	nggodok
merebut	ngrebut
merek	merek
mereka	wong kae
merekam	ngerekam
merencanakan	ngrencanakke
merenovasi	ngapii
meresmikan	ngresmikno
merespon	nanggepi
merica	mrico
merilis	ngerilis
merintis	ngerintis
merpati	doro
mertua	mertuo
mertua	morotuo
mertua	morotuwo
mertuanya	mertuane
merubah	ngerubah
merugikan	ngrugike
merundingkan	ngrembukno
merusak	ngerusak
mesin	mesin
meskipun	masio
meteor	meteor
metro	metro
mewajibkan	ngwajibke
mewakili	ngewakili
mewujudkan	ngewujudke
meyakini	ngeyakini
meyakinkan	ngeyakinke
mikrofon	mik
miliar	miliar
miliaran	miliaran
milik	nduwe
miliki	nduweni
miliknya	nduwene
mimpi	ngimpi
minat	karep
minatnya	karepane
minggir	semingkir
minggu	ahad
minggu	minggu
mingguan	mingguan
minta	njaluk
minum	ngombe
minuman	ombenan
minuman	umbean
minus	minus
minyak	lenga
minyak	lengo
minyaknya	lengane
miring	menceng
miring	mereng
mirip	podo
misa	misa
misal	misale
misalnya	misale
misil	rudal
miskin	mlarat
misteri	misteri
mitos	mitos
mobil	mobil
mobil	montor
mobilnya	mobile
modal	modal
mode	mode
mohon	mohon
molekul	molekul
momen	momen
momen	wayah
monitor	ngawasi
monyet	bedhes
monyet	ketek
monyet	kethek
morfin	morfin
morse	morse
motif	corak
motivasi	motivasi
motor	montor
motor	pit motor
moyang	moyang
mual	eneg
mual	munek-munek
muara	muoro
muaranya	muarane
muat	amot
muda	enom
mudah	gampang
mudanya	enome
mudi	mudi
mudik	balek kampung
muka	rai
muka	rupa
mukanya	raine
mukjizat	mukjizat
mula	mulo
mulai	mulai
mulai	wiwit
mulanya	mulone
mulia	mulya
mulia	mulyo
mulut	cangkem
mulut	cocot
mulut	congor
mulut	lambe
muncul	katon
muncul	nongol
munculnya	nongole
mundur	mundur
mundurnya	mundure
mungkin	ketoe
mungkin	paleng
muntah	mlekok
murah	murah
murid	murid
murid	siswo
muridnya	murite
musang	bajing
museum	museum
musibah	pacoban
musibah	pagebluk
musik	gendhing
musiknya	musike
musim	musem
musisi	musisi
musuh	musuh
musuhnya	musuhe
musyawarah	rembukan
mutan	mutan
mutasi	mutasi
mutiara	mutiara
nada	nada
nadi	nadi
nafas	ambegan
nafkah	gaji
nafkah	upah
naga	nogo
nagara	negoro
naik	mundak
naik	numpak
naiknya	mundak e
naiknya	numpak e
nak	cah
nakal	mbandel
nakal	ngeyel
naluri	insting
nama	asma
nama	jeneng
nama	nami
namanya	jenenge
namun	nanging
nanas	nanas
nangka	gori
nangka	nongko
nanti	engko
napas	ambekan
napi	tahanan
narapidana	narapidana
narkotika	narkotika
nasehat	wejangan
nasi	sego
nasib	nasib
nasib	takdir
nasihat	wejangan
nasional	nasional
naskah	naskah
naskahnya	pronoto
navigasi	navigasi
negara	negoro
negaranya	negorone
negeri	negoro
negeriku	negoroku
negerinya	negorone
nelayan	nelayan
nenek	eyang
nenek	mbah
nenek	simbah
neraka	neroko
new	anyar
nggak	ora
niaga	dodolan
niat	niat
niatnya	niate
nikah	manten
nilai	biji
noda	noda
noda	reget
nomor	nomer
nomor	ongko
nona	mbak
nona	mbak yu
norma	norma
nuklir	nuklir
nurani	kalbu
nyala	murip
nyala	murup
nyala	urip
nyamuk	lamuk
nyamuk	nyamuk
nyana	nyono
nyanyi	nyanyi
nyanyian	nyanyiane
nyaris	meh
nyata	nyata
nyata	nyoto
nyatanya	nyatane
nyatanya	nyotone
nyawa	nyowo
nyawa	sukmo
nyeri	linu
nyonya	kanjeng
nyonya	ndoro
obat	obat
obat	tombo
obatnya	obate
objek	objek
obor	obor
obrolan	omongan
obsesi	obsesi
oksigen	oksigen
olahraga	ulah raga
oleh	karo
olimpiade	olimpiade
ombak	ombak
omong	wicara
omongan	tuturan
opera	opera
opsir	opsir
optimis	optimis
oral	lambe
orang	tiyang
orang	uwong
orang	wong
orangnya	uwonge
orangtua	tiyang sepuh
orangtua	wong tuo
oranye	oren
orbit	orbit
organisasi	organisasi
organisme	organisme
orgasme	orgasme
otak	utek
otopsi	otopsi
otot	otot
oven	oven
ovulasi	kenthu
pabrik	pabrik
pacar	pacar
pada	karo
padaku	nggo aku
padamu	nggo kowe
padang	padang
padi	pari
paduan	paduan
paduka	paduko
pagar	pager
pagi	esuk
pagi	isuk
paha	pupu
paham	mudeng
pahit	pait
pahlawan	pahlawan
pajak	paos
pak	pak
pakai	enggo
pakaian	klambi
pakar	ahli
paksa	mekso
paku	paku
palu	martil
paman	lek
paman	pak lek
pamannya	lek e
pameran	pameran
panah	jemparing
panas	panas
panci	dandang
pandai	pinter
pandang	ndelok
pandangan	pandelengan
pandangan	pandemi
pandangannya	delokane
pandemi	pagebluk
panduan	warahi
panel	panel
panen	panen
pangeran	raden
panggil	celok
panggilan	celuan
panggilan	celukane
panggung	geger
panggung	panggung
pangkalan	pangkalan
pangkat	pangkat
panglima	penglima
panjang	dowo
panjangnya	dowone
pantai	segara
pantat	bokong
papa	bapak
papan	blabak
papat	empat
para	para
parade	karnaval
parah	nemen
paramedis	paramedis
paranormal	dukun
parasit	parasit
parasut	parasut
parfum	parfum
pari	pari
parit	got
parkir	markir
parlemen	parlemen
partai	partai
partikel	partikel
paruh	sigar
pasal	pasal
pasangan	gandengan
pasar	pasar
pasaran	pasaran
pasca	bar
pasien	pasen
pasir	gesik
pasir	lemah
paskah	paskah
pasokan	pasokan
pasta	odol
pasti	mesti
pastor	pastor
pastur	romo
pasukan	bolo
pasukanku	pasukanku
pasukannya	bolone
patah	tugel
patung	patung
patungan	sum-suman
paus	paus
payudara	susu
payudara	tetek
payung	payong
payung	payung
pecah	pecah
pecahan	pecahan
pecandu	pecandu
pecundang	pengecut
pedang	gaman
pedang	pedang
pedas	pedes
pedas	pedhes
pegang	cekel
pegangan	cekelan
pejabat	pejabat
pejuang	pejuang
pekan	pekan
pekerja	buruh
pekerja	pekerjo
pekerjaan	gawean
pekerjaan	kerjanan
pekerjanya	kerjanane
pelabuhan	pelabuhan
pelacakan	pelacakan
pelacur	lonthe
pelajaran	"	ajaran"
pelakon	lakon
pelan	alon
pelanggaran	pelanggaran
pelangi	kluwung
pelatih	pelatih
pelatihan	pelatian
pelatuk	pelatuk
pelayan	kacung
pelayan	peladen
peletakan	ndelehke
pelihara	ngingoni
peliharaan	ingonan
peliharaan	piaraan
pelindung	pelindung
peluit	sempritan
pelukis	pelukis
peluru	pluru
pemadam	pemadam
pemahaman	pengerten
pemain	lakon
pemain	sing main
pemainnya	lakone
pemakaian	kanggone
pemakaiannya	kanggonane
pemakaman	kuburan
pemalu	isin
pemanah	pemanah
pemancar	pemancar
pemandangan	sesawangan
pembaca	pranoto
pembacanya	pranotone
pembakaran	obong
pembalap	pembalap
pembangkit	pembangkit
pembantu	peladen
pembantunya	peladene
pembatas	wates
pembatasan	me watesi
pembela	pembela
pembela	pembelo
pembelaan	pertahanan
pembersihan	ngresii
pembicaraan	ngomongake
pembicaraan	rembugan
pembuat	pandamel
pembuka	pambuka
pembunuh	sing mateni
pembunuhan	kasus mateni
pemburu	pamburu
pemegang	pemegang
pemeran	lakon
pemeran	pelakon
pemerasan	pemerasan
pemerintah	pamarintah
pemerintahan	pemerintahan
pemerkosa	pemaksa
pemerkosaan	pemaksaan
pemicu	dadakan
pemikiran	pemikiran
pemilik	seng ndue
pemilik	sing duwe
pemimpin	pimpinan
pemindai	pemindai
pemirsa	pamirsa
pemotong	pemotong
pemotongan	penjagalan
pemotongan	tugeli
pemuda	cah enom
pemuda	enom-enoman
pemukiman	pemukiman
pena	polpen
penakut	wedian
penamaan	njenengi
penampakan	sesosok
penampilan	katon
penampungan	penampungan
penari	penari
penasihat	penasihat
penawar	penawar
pencarian	nggoleki
pencerahan	pencerahan
pencipta	sing nggawe
pencuci	pengumbah
pencucian	pengumbahan
penculik	panyulik
penculikan	penculikan
pencuri	"	duratmaka"
pendaftaran	pendaftaran
pendapatan	gajian
pendatang	pendatang
pendek	cendak
pendekar	pendekar
pendeknya	cendake
pendengaran	pengrungon
penderita	penderita
pendeta	 begawan
pendiam	anteng
pendiam	meneng
pendingin	kulkas
pendiri	pendiri
penduduk	warga
pendukung	pendukung
